Type,Period,Amount,Frequency
arnona1,11/12/2022,957.4,bimonthly
arnona1,01/02/2023,1040.6,bimonthly
arnona1,03/04/2023,1047.7,bimonthly
arnona1,05/06/2023,1056.9,bimonthly
arnona1,07/08/2023,1067.1,bimonthly
arnona1,09/10/2023,1070.2,bimonthly
arnona1,11/12/2023,1080.94,bimonthly
arnona1,01/02/2024,1080.94,bimonthly
arnona1,03/04/2024,1335.6,bimonthly
arnona1,05/06/2024,1335.6,bimonthly
arnona1,07/08/2024,1345.74,bimonthly
arnona1,09/10/2024,1366,bimonthly
arnona1,11/12/2024,1376.1,bimonthly
arnona2,01/02/2023,279,bimonthly
arnona2,03/04/2023,279,bimonthly
arnona2,05/06/2023,279,bimonthly
arnona2,07/08/2023,279,bimonthly
arnona2,09/10/2023,279,bimonthly
arnona2,11/12/2023,279,bimonthly
arnona2,01/02/2024,1464.96,bimonthly
arnona2,03/04/2024,1464.96,bimonthly
arnona2,05/06/2024,1464.96,bimonthly
arnona2,07/08/2024,1472.65,bimonthly
arnona2,09/10/2024,1494.8,bimonthly
arnona2,11/12/2024,1505.9,bimonthly
